  21.12097  10.18768   9.87394   9.61219   0.00000   4.61171   9.08851   4.49475   4.46225   4.44615   8.89229  13.38674   8.98949   9.08851   9.22341  14.09524  14.41828  14.81091  10.18768  10.56048
  11.96443   6.34921   5.71349   6.58062   3.75738   4.56559   3.28167  -0.23843   2.50318   5.19539   5.42694   9.37130   9.05862   8.70541   9.09885   7.29905  10.50695   7.47301  13.80912   9.57155
  10.94779  13.42519  10.87645   8.06832   8.27894   0.01001  -0.02214   1.42402  -5.91566  -4.02708  -3.70621   3.61206  10.73322  10.37317   2.41719   8.09128   8.77777  14.07060  14.43963  13.13734
  20.20920  14.53500  21.82244  16.75016  12.00508  17.87003  10.85669   1.59207   9.77292   9.29363   4.57618  18.10186   9.66127   1.05494  -8.53917  -1.46514   9.95421  13.00778  14.67251  14.14644
  26.32281  21.97564  27.14524  21.99324  28.77055  26.31610  26.20874  19.56247  22.31826  27.55566  19.90950  16.26650   5.87125  -0.52335  -2.95362   3.55278  23.47609  14.18543  15.47527  11.28120
  22.91013  17.37352  20.47320  21.23652  21.66373   7.86649  19.55936  19.16274  10.89454  13.98251  17.57815  -1.44260   7.69201   9.70001   5.28376   6.14913  13.02694  16.41444  14.24996  12.33622
   8.31695   8.81239   9.74659   7.46364   1.95559   6.77413   9.27563  18.27851  16.36938  18.03596  19.15652  10.25485  16.18999  30.17117  23.89635  22.93802  15.54057  17.27103  14.53518  13.30712
  -7.90205  -0.45741  -6.83172   0.16835   8.23675  12.71328  13.19225  20.98316  16.59703  18.85599  15.33454  14.45342  19.29673  22.92426  36.63683  41.85914  35.85100  18.39603  14.90964   9.48246
  -7.55507  -0.33774  -2.38063   9.52554   3.00280  19.34809  15.74646  17.10326  10.22725  29.64380   0.98174  24.50238   2.05454   9.64915  29.39199  32.27983  35.93877  20.80225  14.59282   9.06609
   1.45332   4.26091   8.95599   9.17685  12.58267  16.00304  18.83991  10.51573  11.79675   3.85990  11.96982   5.60759   6.78211  11.14423  26.27986  22.82066  20.20097  19.31345   9.84732  11.62660
   8.43498  10.48257  13.82012   9.41919  25.19063  17.74253  26.49833  16.00276  25.12145   0.27821  21.40229   6.23058  13.83659   2.40787   5.02112  11.97988   0.71829  10.16734  -0.01131  12.65247
  15.04033  16.65495  14.55957  23.16796  17.01000  23.31530  12.52062  18.43806  14.70521  16.40851  16.07910  16.03669  12.33883  18.59890   7.11698  -1.75965  -7.41797  -5.16910  -5.21653   5.46921
  20.05093  19.33642  19.04461  19.92346  13.80493  10.57134   1.45051   5.60713   0.77422  -6.55323  -3.48678  -8.92002  -4.39069   1.57867  -2.63235 -10.33662 -19.16932  -9.72554  -7.63014  -1.33673
  23.63856  18.80350  21.03454   8.03054  12.05059   0.48350   4.78371  -1.14771   1.65645  -3.38671 -12.33981  -7.71314 -13.79246 -17.14478 -13.13353 -14.29988 -19.38002  -5.93169  -6.23407  -3.93976
  14.25756  13.61964  11.32775   8.62072   5.42796   6.13128   3.49638   0.91848  -0.08299  -4.54703 -10.08280  -7.26262  -6.46491  -8.59709  -8.82714  -6.41289  -9.86620  -6.03274  -2.66849  -3.88843
   5.13894   7.67340   7.65983   5.10901   2.56000   2.56817   0.00000   0.00000   0.00000  -2.59639  -2.59639  -2.59275  -2.58606  -2.57739 -10.27269  -2.56000  -2.55451  -2.55328  -5.11560   0.00000
