 5820. 5810. 5800. 5800. 5780. 5780. 5770. 5750. 5750. 5780. 5800. 5820. 5830. 5840. 5840. 5850. 5850. 5860. 5870. 5880.
 5780. 5806. 5789. 5800. 5788. 5788. 5777. 5770. 5771. 5787. 5807. 5824. 5838. 5848. 5848. 5853. 5851. 5848. 5863. 5860.
 5770. 5770. 5759. 5770. 5759. 5760. 5756. 5747. 5741. 5760. 5773. 5782. 5794. 5808. 5814. 5823. 5810. 5809. 5819. 5840.
 5730. 5746. 5726. 5740. 5736. 5744. 5752. 5758. 5761. 5777. 5787. 5778. 5780. 5799. 5816. 5821. 5794. 5785. 5786. 5800.
 5670. 5678. 5653. 5675. 5662. 5667. 5682. 5694. 5692. 5706. 5727. 5719. 5735. 5774. 5801. 5793. 5747. 5746. 5738. 5770.
 5590. 5610. 5582. 5608. 5600. 5617. 5629. 5648. 5651. 5665. 5695. 5702. 5725. 5760. 5787. 5763. 5696. 5704. 5693. 5740.
 5540. 5564. 5528. 5553. 5555. 5577. 5576. 5587. 5594. 5607. 5640. 5666. 5686. 5712. 5741. 5717. 5644. 5651. 5630. 5700.
 5540. 5563. 5529. 5544. 5545. 5552. 5538. 5528. 5534. 5541. 5587. 5622. 5634. 5658. 5676. 5635. 5554. 5588. 5577. 5660.
 5590. 5570. 5547. 5537. 5520. 5502. 5479. 5464. 5468. 5469. 5536. 5566. 5588. 5608. 5585. 5510. 5417. 5497. 5510. 5640.
 5590. 5562. 5529. 5505. 5483. 5451. 5425. 5417. 5424. 5428. 5503. 5526. 5566. 5561. 5495. 5397. 5292. 5398. 5437. 5600.
 5580. 5531. 5492. 5454. 5418. 5374. 5341. 5347. 5377. 5396. 5458. 5490. 5520. 5503. 5418. 5318. 5228. 5345. 5413. 5560.
 5530. 5477. 5434. 5387. 5344. 5299. 5264. 5265. 5290. 5334. 5406. 5464. 5502. 5496. 5418. 5323. 5245. 5344. 5416. 5510.
 5470. 5407. 5361. 5307. 5273. 5242. 5221. 5225. 5261. 5317. 5378. 5439. 5468. 5458. 5406. 5345. 5303. 5388. 5444. 5520.
 5380. 5328. 5287. 5255. 5236. 5225. 5218. 5219. 5249. 5341. 5426. 5488. 5522. 5517. 5465. 5408. 5379. 5422. 5461. 5520.
 5290. 5262. 5213. 5204. 5186. 5186. 5183. 5201. 5240. 5328. 5404. 5470. 5505. 5509. 5479. 5449. 5435. 5459. 5491. 5550.
 5270. 5220. 5190. 5180. 5180. 5180. 5190. 5200. 5240. 5360. 5470. 5530. 5570. 5570. 5540. 5470. 5460. 5470. 5500. 5550.
