 5820. 5810. 5800. 5800. 5780. 5780. 5770. 5750. 5750. 5780. 5800. 5820. 5830. 5840. 5840. 5850. 5850. 5860. 5870. 5880.
 5780. 5805. 5788. 5799. 5788. 5790. 5778. 5769. 5772. 5788. 5809. 5824. 5839. 5849. 5849. 5854. 5852. 5851. 5864. 5860.
 5770. 5774. 5762. 5770. 5762. 5763. 5757. 5747. 5738. 5759. 5774. 5782. 5797. 5813. 5817. 5822. 5814. 5810. 5818. 5840.
 5730. 5750. 5727. 5738. 5735. 5743. 5752. 5759. 5760. 5777. 5787. 5776. 5781. 5801. 5817. 5817. 5795. 5782. 5784. 5800.
 5670. 5682. 5652. 5669. 5663. 5670. 5686. 5693. 5692. 5708. 5731. 5721. 5738. 5778. 5804. 5794. 5748. 5745. 5737. 5770.
 5590. 5613. 5584. 5605. 5599. 5618. 5633. 5648. 5650. 5666. 5698. 5704. 5726. 5766. 5790. 5762. 5697. 5702. 5692. 5740.
 5540. 5564. 5526. 5550. 5555. 5578. 5579. 5590. 5596. 5607. 5641. 5666. 5685. 5714. 5744. 5715. 5643. 5647. 5628. 5700.
 5540. 5564. 5526. 5543. 5548. 5554. 5539. 5527. 5533. 5539. 5587. 5624. 5634. 5660. 5678. 5632. 5552. 5585. 5576. 5660.
 5590. 5572. 5548. 5536. 5518. 5502. 5481. 5462. 5468. 5469. 5538. 5568. 5590. 5612. 5586. 5508. 5416. 5494. 5509. 5640.
 5590. 5563. 5528. 5503. 5483. 5450. 5426. 5416. 5427. 5430. 5503. 5524. 5564. 5563. 5494. 5395. 5292. 5394. 5436. 5600.
 5580. 5531. 5489. 5451. 5419. 5376. 5342. 5347. 5376. 5397. 5457. 5487. 5517. 5503. 5419. 5316. 5227. 5342. 5411. 5560.
 5530. 5479. 5435. 5388. 5348. 5300. 5263. 5261. 5284. 5329. 5403. 5461. 5502. 5499. 5417. 5319. 5243. 5342. 5414. 5510.
 5470. 5406. 5361. 5308. 5276. 5240. 5220. 5225. 5261. 5318. 5379. 5440. 5471. 5459. 5404. 5342. 5301. 5385. 5442. 5520.
 5380. 5328. 5286. 5255. 5237. 5222. 5213. 5217. 5247. 5342. 5427. 5489. 5524. 5516. 5462. 5407. 5380. 5421. 5460. 5520.
 5290. 5263. 5211. 5202. 5185. 5184. 5181. 5199. 5238. 5328. 5406. 5472. 5507. 5510. 5479. 5451. 5436. 5459. 5491. 5550.
 5270. 5220. 5190. 5180. 5180. 5180. 5190. 5200. 5240. 5360. 5470. 5530. 5570. 5570. 5540. 5470. 5460. 5470. 5500. 5550.
