 5820. 5810. 5800. 5800. 5780. 5780. 5770. 5750. 5750. 5780. 5800. 5820. 5830. 5840. 5840. 5850. 5850. 5860. 5870. 5880.
 5780. 5827. 5772. 5824. 5790. 5812. 5793. 5769. 5795. 5799. 5837. 5852. 5866. 5868. 5861. 5864. 5871. 5846. 5888. 5860.
 5770. 5773. 5789. 5759. 5791. 5755. 5759. 5759. 5708. 5747. 5759. 5769. 5786. 5822. 5790. 5842. 5796. 5816. 5799. 5840.
 5730. 5774. 5708. 5765. 5721. 5779. 5771. 5787. 5809. 5817. 5833. 5806. 5779. 5798. 5848. 5807. 5826. 5760. 5799. 5800.
 5670. 5702. 5645. 5661. 5699. 5646. 5692. 5707. 5675. 5684. 5739. 5685. 5720. 5797. 5795. 5844. 5703. 5776. 5714. 5770.
 5590. 5624. 5563. 5641. 5570. 5631. 5630. 5651. 5656. 5661. 5722. 5694. 5737. 5767. 5830. 5749. 5666. 5687. 5696. 5740.
 5540. 5573. 5508. 5529. 5552. 5591. 5547. 5608. 5600. 5607. 5630. 5683. 5675. 5718. 5752. 5767. 5652. 5680. 5590. 5700.
 5540. 5592. 5488. 5567. 5557. 5567. 5559. 5508. 5538. 5516. 5590. 5634. 5622. 5605. 5709. 5644. 5540. 5603. 5578. 5660.
 5590. 5580. 5568. 5531. 5497. 5510. 5465. 5441. 5479. 5447. 5527. 5584. 5555. 5629. 5594. 5514. 5350. 5532. 5477. 5640.
 5590. 5578. 5513. 5497. 5531. 5432. 5457. 5390. 5455. 5329. 5586. 5439. 5623. 5544. 5508. 5392. 5218. 5389. 5404. 5600.
 5580. 5542. 5481. 5453. 5401. 5384. 5320. 5352. 5399. 5435. 5428. 5527. 5478. 5531. 5390. 5290. 5137. 5343. 5371. 5560.
 5530. 5488. 5446. 5403. 5364. 5297. 5234. 5244. 5231. 5264. 5409. 5409. 5516. 5533. 5452. 5293. 5180. 5327. 5405. 5510.
 5470. 5409. 5364. 5273. 5272. 5207. 5213. 5198. 5263. 5306. 5308. 5433. 5413. 5400. 5391. 5327. 5258. 5409. 5429. 5520.
 5380. 5323. 5300. 5243. 5255. 5228. 5224. 5226. 5220. 5346. 5456. 5487. 5542. 5527. 5465. 5394. 5370. 5412. 5462. 5520.
 5290. 5277. 5180. 5209. 5162. 5184. 5152. 5195. 5223. 5322. 5376. 5455. 5488. 5488. 5467. 5455. 5431. 5464. 5494. 5550.
 5270. 5220. 5190. 5180. 5180. 5180. 5190. 5200. 5240. 5360. 5470. 5530. 5570. 5570. 5540. 5470. 5460. 5470. 5500. 5550.
