 5820. 5810. 5800. 5800. 5780. 5780. 5770. 5750. 5750. 5780. 5800. 5820. 5830. 5840. 5840. 5850. 5850. 5860. 5870. 5880.
 5780. 5803. 5786. 5797. 5786. 5787. 5776. 5767. 5770. 5786. 5805. 5820. 5835. 5845. 5846. 5852. 5850. 5850. 5862. 5860.
 5770. 5772. 5759. 5768. 5761. 5760. 5757. 5747. 5737. 5757. 5771. 5780. 5796. 5814. 5816. 5824. 5814. 5812. 5818. 5840.
 5730. 5749. 5726. 5737. 5735. 5741. 5752. 5759. 5758. 5776. 5785. 5775. 5778. 5799. 5813. 5816. 5790. 5780. 5784. 5800.
 5670. 5681. 5649. 5668. 5660. 5668. 5683. 5693. 5690. 5706. 5726. 5717. 5734. 5776. 5800. 5792. 5744. 5745. 5738. 5770.
 5590. 5613. 5583. 5606. 5597. 5618. 5631. 5647. 5648. 5666. 5694. 5701. 5724. 5764. 5788. 5762. 5696. 5704. 5694. 5740.
 5540. 5563. 5525. 5550. 5555. 5577. 5576. 5589. 5593. 5606. 5637. 5663. 5682. 5710. 5739. 5711. 5640. 5648. 5630. 5700.
 5540. 5563. 5525. 5541. 5546. 5553. 5536. 5527. 5533. 5539. 5584. 5621. 5631. 5657. 5676. 5632. 5551. 5589. 5580. 5660.
 5590. 5572. 5547. 5533. 5517. 5502. 5479. 5463. 5466. 5468. 5535. 5563. 5587. 5608. 5584. 5508. 5418. 5497. 5511. 5640.
 5590. 5562. 5524. 5499. 5480. 5451. 5425. 5421. 5427. 5432. 5504. 5520. 5563. 5561. 5493. 5395. 5296. 5392. 5433. 5600.
 5580. 5530. 5487. 5449. 5416. 5376. 5339. 5349. 5375. 5395. 5455. 5481. 5515. 5500. 5416. 5316. 5232. 5341. 5406. 5560.
 5530. 5478. 5433. 5385. 5346. 5302. 5262. 5264. 5283. 5327. 5404. 5459. 5504. 5501. 5418. 5323. 5250. 5345. 5413. 5510.
 5470. 5406. 5358. 5303. 5272. 5240. 5218. 5226. 5258. 5316. 5380. 5435. 5468. 5455. 5400. 5340. 5302. 5387. 5443. 5520.
 5380. 5328. 5283. 5251. 5234. 5222. 5212. 5218. 5246. 5343. 5430. 5489. 5526. 5518. 5463. 5409. 5381. 5424. 5464. 5520.
 5290. 5262. 5212. 5202. 5186. 5186. 5183. 5203. 5241. 5330. 5406. 5472. 5505. 5508. 5477. 5450. 5435. 5460. 5494. 5550.
 5270. 5220. 5190. 5180. 5180. 5180. 5190. 5200. 5240. 5360. 5470. 5530. 5570. 5570. 5540. 5470. 5460. 5470. 5500. 5550.
