 5820. 5810. 5800. 5800. 5780. 5780. 5770. 5750. 5750. 5780. 5800. 5820. 5830. 5840. 5840. 5850. 5850. 5860. 5870. 5880.
 5780. 5857. 5801. 5862. 5820. 5846. 5827. 5821. 5808. 5850. 5850. 5878. 5872. 5899. 5877. 5905. 5875. 5886. 5860. 5860.
 5770. 5825. 5774. 5820. 5781. 5799. 5771. 5783. 5731. 5784. 5776. 5804. 5809. 5837. 5823. 5851. 5825. 5838. 5826. 5840.
 5730. 5818. 5743. 5803. 5760. 5805. 5782. 5820. 5779. 5823. 5814. 5821. 5813. 5836. 5829. 5867. 5799. 5816. 5773. 5800.
 5670. 5758. 5671. 5720. 5674. 5708. 5688. 5725. 5694. 5737. 5734. 5742. 5727. 5786. 5784. 5815. 5712. 5762. 5700. 5770.
 5590. 5683. 5615. 5657. 5614. 5665. 5660. 5689. 5658. 5699. 5704. 5734. 5726. 5788. 5776. 5789. 5669. 5725. 5659. 5740.
 5540. 5620. 5555. 5593. 5570. 5611. 5590. 5637. 5602. 5612. 5621. 5661. 5650. 5702. 5704. 5713. 5579. 5627. 5551. 5700.
 5540. 5631. 5557. 5579. 5561. 5586. 5548. 5562. 5540. 5562. 5579. 5641. 5622. 5670. 5661. 5636. 5499. 5566. 5505. 5660.
 5590. 5619. 5561. 5558. 5515. 5531. 5480. 5474. 5459. 5460. 5509. 5564. 5557. 5605. 5541. 5470. 5332. 5437. 5429. 5640.
 5590. 5612. 5535. 5532. 5484. 5477. 5432. 5448. 5439. 5442. 5493. 5526. 5543. 5555. 5463. 5369. 5204. 5298. 5323. 5600.
 5580. 5559. 5477. 5457. 5405. 5390. 5329. 5343. 5355. 5382. 5416. 5463. 5474. 5473. 5382. 5300. 5169. 5257. 5300. 5560.
 5530. 5503. 5433. 5393. 5337. 5313. 5260. 5265. 5265. 5315. 5375. 5447. 5486. 5502. 5405. 5334. 5242. 5325. 5359. 5510.
 5470. 5403. 5336. 5288. 5239. 5225. 5191. 5205. 5215. 5270. 5322. 5384. 5422. 5424. 5363. 5344. 5297. 5402. 5437. 5520.
 5380. 5313. 5269. 5238. 5226. 5219. 5194. 5218. 5237. 5339. 5407. 5475. 5499. 5496. 5426. 5406. 5356. 5438. 5483. 5520.
 5290. 5273. 5219. 5197. 5176. 5178. 5162. 5178. 5205. 5287. 5341. 5442. 5456. 5460. 5411. 5423. 5410. 5479. 5540. 5550.
 5270. 5220. 5190. 5180. 5180. 5180. 5190. 5200. 5240. 5360. 5470. 5530. 5570. 5570. 5540. 5470. 5460. 5470. 5500. 5550.
